asset,familia,veredicto,png,abajo_px,abajo_pct,cola_tenue_px,arriba,izq,der,colocado,motivo
forest_decoration/corrupto/monton_ramas_afiladas,prop_suelo,recortar los 4 lados,1024x1024,330,32.2,0,309,172,177,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/seta_blanca,prop_suelo,recortar los 4 lados,1024x1024,308,30.1,1,304,319,318,1,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/piedras_musgo,prop_suelo,recortar los 4 lados,1024x1024,298,29.1,2,333,216,244,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/petalos_rosados_2,prop_suelo,recortar los 4 lados,1024x1024,297,29.0,0,278,225,193,1,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/hojas_frescas,prop_suelo,recortar los 4 lados,1024x1024,296,28.9,2,293,178,195,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/raiz_expuesta_suave,prop_suelo,recortar los 4 lados,1024x1024,295,28.8,0,284,141,150,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/petalos_rosados_3,prop_suelo,recortar los 4 lados,1024x1024,293,28.6,0,197,304,285,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/corrupto/pozo_savia_corrupta,prop_suelo,recortar los 4 lados,1024x1024,286,27.9,0,294,161,161,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/nido_huevos,prop_suelo,recortar los 4 lados,1024x1024,286,27.9,1,288,184,191,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/champinones_agrupados_marrones,prop_suelo,recortar los 4 lados,1024x1024,280,27.3,0,268,245,268,1,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/petalos_rosados_1,prop_suelo,recortar los 4 lados,1024x1024,277,27.1,1,268,265,285,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/corrupto/semilla_reventada,prop_suelo,recortar los 4 lados,1024x1024,260,25.4,0,285,223,225,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
shops/ukranian_super_2,en_pie,recortar abajo,1024x1536,368,24.0,0,149,29,24,1,"edificio en pie, la base visible coincide con el borde de la tinta"
forest_decoration/natural/Flor_silvestre_azul,prop_suelo,recortar los 4 lados,1024x1024,227,22.2,0,245,320,320,1,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
portals/portal_2,en_pie,recortar abajo,1024x1536,304,19.8,0,144,16,22,0,"edificio en pie, la base visible coincide con el borde de la tinta"
forest_decoration/corrupto/craneo_muzgo,prop_suelo,recortar los 4 lados,1024x1024,194,18.9,0,238,204,253,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
portals/portal,en_pie,recortar abajo,1024x1536,286,18.6,1,136,12,18,1,"edificio en pie, la base visible coincide con el borde de la tinta"
forest_decoration/corrupto/hojas_marchitas,prop_suelo,recortar los 4 lados,1024x1024,186,18.2,0,335,124,134,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/natural/mariposa_rama_caida,prop_suelo,recortar a tinta solida,1024x1024,182,17.8,159,326,0,0,1,lleva sombra/hierba PINTADA tenue de 159 px: recortar a alfa>8 la conserva y deja la linea de pies igual de baja
forest_decoration/corrupto/raiz_retorcida,prop_suelo,recortar los 4 lados,1024x1024,156,15.2,1,190,188,193,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/corrupto/hongos_liminiscentes_venenosos,prop_suelo,recortar los 4 lados,1024x1024,154,15.0,0,176,172,251,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/corrupto/flor_carnivora,prop_suelo,recortar los 4 lados,1024x1024,146,14.3,1,142,272,231,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/corrupto/totem_podrido,prop_suelo,recortar los 4 lados,1024x1024,142,13.9,0,146,212,238,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
forest_decoration/corrupto/piedra_runica_musgosa,prop_suelo,recortar los 4 lados,1024x1024,136,13.3,0,149,211,175,0,prop pequeno centrado en lienzo grande: recortar solo abajo lo descoloca
combat/coliseo_2,cenital,no proyectar,1024x1024,128,12.5,0,66,54,58,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
portals/portal_dudgeon_2,en_pie,recortar abajo,1024x1024,123,12.0,2,114,118,130,0,"edificio en pie, la base visible coincide con el borde de la tinta"
combat/combat_training_yard,cenital,no proyectar,1536x1024,117,11.4,2,23,0,20,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
combat/training,cenital,no proyectar,1536x1024,117,11.4,2,23,0,20,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
gardens/garden_2,cenital,no proyectar,1024x1024,114,11.1,1,18,73,77,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
gardens/garden_3,cenital,no proyectar,1024x1024,114,11.1,0,30,33,34,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
portals/portal_runes_inactive,cenital,no proyectar,1024x1024,109,10.6,3,61,177,177,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
shops/blacksmith,en_pie,recortar abajo,1024x1024,108,10.5,1,26,47,47,1,"edificio en pie, la base visible coincide con el borde de la tinta"
vegetation/tree_5,en_pie,recortar abajo,256x256,26,10.2,0,3,13,5,0,"edificio en pie, la base visible coincide con el borde de la tinta"
vegetation/tree_11,en_pie,recortar abajo,233x333,32,9.6,0,0,0,18,0,"edificio en pie, la base visible coincide con el borde de la tinta"
others/guillotina,en_pie,recortar abajo,1024x1024,94,9.2,2,81,232,232,0,"edificio en pie, la base visible coincide con el borde de la tinta"
shops/shop_alchemist_house,en_pie,recortar abajo,1024x1536,127,8.3,1,19,32,43,0,"edificio en pie, la base visible coincide con el borde de la tinta"
shops/alchemy_tower,en_pie,recortar abajo,1024x1536,119,7.7,0,20,25,32,1,"edificio en pie, la base visible coincide con el borde de la tinta"
vegetation/tree_azul,en_pie,recortar abajo,1024x1024,78,7.6,3,67,113,106,0,"edificio en pie, la base visible coincide con el borde de la tinta"
portals/portal_well_closed,cenital,no proyectar,1024x1024,74,7.2,12,54,74,116,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
vegetation/tree_6,en_pie,recortar a tinta solida,540x540,39,7.2,15,39,81,75,1,lleva sombra/hierba PINTADA tenue de 15 px: recortar a alfa>8 la conserva y deja la linea de pies igual de baja
houses/curse_house_topdown,en_pie,recortar abajo,1024x1024,73,7.1,0,48,74,90,1,"edificio en pie, la base visible coincide con el borde de la tinta"
